X,Y,GU_NM,THT_HG,BHT_DM,WTRTB_BT,WDPT_NM,CREAT_DE
126.995791068,37.555779556,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.998191732,37.561422178,중구,4.00000000,13.00000000,4.00000000,왕벚나무,
127.011665609,37.554142754,중구,6.00000000,14.00000000,5.00000000,왕벚나무,
126.995786174,37.555635471,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.997812325,37.561001435,중구,4.00000000,12.00000000,4.00000000,왕벚나무,
126.995886902,37.55772515,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.959736551,37.538284839,용산구,3.00000000,10.00000000,2.00000000,왕벚나무,
126.960390877,37.539601681,용산구,7.00000000,35.00000000,4.00000000,왕벚나무,
126.959583587,37.538625593,용산구,3.00000000,9.00000000,2.00000000,왕벚나무,
126.954666846,37.535698339,용산구,6.00000000,4.00000000,3.00000000,왕벚나무,
126.954385659,37.530716971,용산구,9.00000000,32.00000000,5.00000000,왕벚나무,
126.959430781,37.538844883,용산구,3.00000000,10.00000000,2.00000000,왕벚나무,
126.964089435,37.525416662,용산구,11.00000000,20.00000000,5.00000000,산벚나무,
126.961758978,37.522989762,용산구,10.00000000,20.00000000,5.00000000,산벚나무,
126.954304287,37.530702613,용산구,9.00000000,32.00000000,5.00000000,왕벚나무,
126.959148961,37.540124472,용산구,7.00000000,27.00000000,4.00000000,왕벚나무,
126.959646458,37.539904318,용산구,7.00000000,30.00000000,4.00000000,왕벚나무,
126.953705064,37.535344663,용산구,6.00000000,8.00000000,3.00000000,왕벚나무,
126.967131012,37.522177889,용산구,11.00000000,19.00000000,5.00000000,왕벚나무,
126.964037513,37.525365248,용산구,11.00000000,18.00000000,5.00000000,산벚나무,
126.963988117,37.525310253,용산구,11.00000000,19.00000000,5.00000000,산벚나무,
126.967015142,37.522153007,용산구,11.00000000,20.00000000,5.00000000,왕벚나무,
126.954354491,37.535592541,용산구,6.00000000,8.00000000,3.00000000,왕벚나무,
127.011513198,37.554141025,중구,7.00000000,12.00000000,5.00000000,왕벚나무,
126.963852624,37.525168104,용산구,10.00000000,18.00000000,6.00000000,산벚나무,
126.960651975,37.539485893,용산구,6.00000000,30.00000000,4.00000000,왕벚나무,
126.960122859,37.537687691,용산구,3.00000000,10.00000000,2.00000000,왕벚나무,
126.95358432,37.535418317,용산구,7.00000000,8.00000000,3.00000000,왕벚나무,
126.954036955,37.530544036,용산구,9.00000000,30.00000000,4.00000000,왕벚나무,
126.960033552,37.537947478,용산구,5.00000000,13.00000000,2.00000000,왕벚나무,
126.959583747,37.538504131,용산구,3.00000000,9.00000000,2.00000000,왕벚나무,
126.96414647,37.525484937,용산구,12.00000000,21.00000000,6.00000000,산벚나무,
126.959705798,37.539877332,용산구,7.00000000,25.00000000,4.00000000,왕벚나무,
126.954087514,37.535518598,용산구,6.00000000,5.00000000,3.00000000,왕벚나무,
126.966951099,37.522140848,용산구,11.00000000,21.00000000,5.00000000,왕벚나무,
126.962400719,37.523657544,용산구,11.00000000,23.00000000,6.00000000,산벚나무,
126.959854148,37.539813246,용산구,7.00000000,18.00000000,1.00000000,왕벚나무,
126.967209382,37.522196772,용산구,11.00000000,18.00000000,5.00000000,왕벚나무,
126.962619543,37.523876431,용산구,12.00000000,24.00000000,7.00000000,산벚나무,
