fid,tht_hg,bht_dm,wtrtb_bt,wdpt_nm,wdpt_cd,lng,lat
"4694",6,10,4,은행나무,GB,127.011602571,37.493229237
"4695",9,23,4,느티나무,ZS,127.061353157,37.456688428
"4696",6,24,5,은행나무,GB,127.051728866,37.452390639
"4697",0,9,0,느티나무,ZS,127.024828416,37.483435897
"4698",14,27,6,양버즘나무,PTA,126.991239147,37.483846564
"4699",5,11,3,왕벚나무,PS,127.035691985,37.477910894
"4700",10,36,6,양버즘나무,PTA,127.025545172,37.49719488
"4701",4,6,2,왕벚나무,PS,127.057112715,37.446074631
"4702",13,43,7,양버즘나무,PTA,127.001194907,37.504579288
"4703",10,29,5,메타세쿼이아,TB,127.040276934,37.473967471
"4704",14,30,6,양버즘나무,PTA,127.038411436,37.479319872
"4705",7,42,10,느티나무,ZS,127.010597251,37.479184453
"4706",8,24,4,양버즘나무,PTA,126.991512958,37.48360794
"4707",7,18,6,은행나무,GB,127.010176623,37.494392431
"4708",6,16,3,메타세쿼이아,TB,127.017452009,37.510044231
"4709",9,27,5,양버즘나무,PTA,127.028792295,37.492613443
"4710",9,27,5,양버즘나무,PTA,127.017975838,37.489326557
"4711",13,23,4,메타세쿼이아,TB,127.044102016,37.47800734
"4712",7,14,3,은행나무,GB,126.982797811,37.472867378
"4713",12,24,6,양버즘나무,PTA,126.997394328,37.488745264
"4714",8,14,4,양버즘나무,PTA,127.010809101,37.512460084
"4715",14,16,4,은행나무,GB,127.002721201,37.502713923
"4716",15,21,8,은행나무,GB,127.044070075,37.479119491
"4717",9,33,5,양버즘나무,PTA,127.026344213,37.491859574
"4718",11,43,12,느티나무,ZS,127.088557698,37.462988987
"4719",7,20,1,양버즘나무,PTA,127.036765079,37.468715246
"4720",8,34,6,느티나무,ZS,127.055226211,37.458943283
"4721",4,8,2,느티나무,ZS,126.982839803,37.485346078
"4722",5,22,3,메타세쿼이아,TB,127.028756701,37.468762518
"4723",0,9,0,느티나무,ZS,127.019824128,37.482429468
"4724",5,15,4,느티나무,ZS,126.992681682,37.487510605
"4725",7,36,7,양버즘나무,PTA,127.035757111,37.460703113
"4726",8,19,3,은행나무,GB,127.039058341,37.458178316
"4727",6,29,9,느티나무,ZS,127.013306409,37.457538621
"4728",8,32,5,양버즘나무,PTA,127.02138874,37.502738773
"4729",0,8,0,느티나무,ZS,127.038083954,37.48496662
"4730",5,18,3,느티나무,ZS,127.041270126,37.464626925
"4731",5,10,2,메타세쿼이아,TB,127.00167185,37.474863839
"4732",10,29,8,양버즘나무,PTA,127.0413907,37.466803384
"4733",7,16,3,은행나무,GB,127.046020427,37.472127322
"4734",11,27,6,양버즘나무,PTA,127.01900908,37.510289684
"4735",12,32,6,양버즘나무,PTA,126.986255667,37.504936502
"4736",9,20,4,양버즘나무,PTA,127.00423332,37.487312832
"4737",9,22,5,느티나무,ZS,127.07671435,37.458745104
"4738",5,17,4,느티나무,ZS,126.991964537,37.487093053
"4739",9,33,12,양버즘나무,PTA,126.998420424,37.481702467
